Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,-3.46944695195361E-18,0.113260302039731,0,0,0,7.81592864600267,0.0717820556775515,-5.78241158658935E-19,2.18538400080141E-18,0.0717820556775515,1.34858373855936E-18,0.0419250565426863,0,0,0,0,0,0,package://3D_CAD_Scara8/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3D_CAD_Scara8/meshes/base_link.STL,,Fiexd_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link01_Link,0.370271442843165,1.38777878078145E-17,0.0173220805169391,0,0,0,8.88681009624485,0.0336698999754297,-4.18657157939023E-18,-0.0276670618254063,0.38037068204283,1.40162339073945E-18,0.373774678100568,0,0,0,0,0,0,package://3D_CAD_Scara8/meshes/Link01_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3D_CAD_Scara8/meshes/Link01_Link.STL,,Links_1-1,joint01,Axis_Joint01_joint,Joint01_joint,continuous,0,0,0.22,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Link02_Link,0.174408306120746,9.11106830771106E-05,0.00387140852064088,0,0,0,4.46317135032902,0.0133846284356313,-2.76530612550118E-05,0.00301355919278687,0.0962243535370692,1.57427958940252E-06,0.100921848562148,0,0,0,0,0,0,package://3D_CAD_Scara8/meshes/Link02_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3D_CAD_Scara8/meshes/Link02_Link.STL,,Links_2-1,joint02,Axis_Joint01_joint,joint02_joint,continuous,0.55,0,0.100000000000002,0,0,0,Link01_Link,0,0,1,,,,,,,,,,,,
Link03_Link,3.7470027081099E-16,1.21430643318376E-16,-0.0495990747723838,0,0,0,3.121,0.0279173373972018,5.55226867450216E-19,-3.57008352538505E-18,0.0279173373972018,-3.24628074469936E-18,0.00524401666666668,0,0,0,0,0,0,package://3D_CAD_Scara8/meshes/Link03_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3D_CAD_Scara8/meshes/Link03_Link.STL,,Links_3-1,joint3,Axis_joint03_joint3,joint03_joint,prismatic,0.35,0.00012531,0.05,3.1416,0,0,Link02_Link,0,0,1,0,0,-0.20561,0.014392,,,,,,,,
End_efector_Link,0,-1.38777878078145E-17,-0.153990708106376,0,0,0,3.121,0.0279173373972018,5.55226867450214E-19,-3.85544939312015E-18,0.0279173373972018,-3.25208985030926E-18,0.00524401666666668,0,0,0,0,0,0,package://3D_CAD_Scara8/meshes/End_efector_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3D_CAD_Scara8/meshes/End_efector_Link.STL,,Links_3-1,Endeffecter,Axis_Joint01_joint,Endefector_joint,fixed,0,0,0.10439,0,0,0,Link03_Link,0,0,0,,,,,,,,,,,,
