Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.46944695195361E-18,0,0.0904371532311637,0,0,0,6.24513231920778,0.045813663764175,3.97540796578018E-19,-9.63986910665323E-19,0.045813663764175,-5.6497925389599E-19,0.0340710749087118,0,0,0,0,0,0,package://3D_CAD_Scara9/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3D_CAD_Scara9/meshes/base_link.STL,,Fiexd_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link01_Link,0.253234063748096,0,0.0223525896423132,0,0,0,6.88681009624485,0.0295621799270038,-4.58285837237235E-18,-0.0148959585678893,0.146584300092122,-4.80124256060935E-20,0.140762682864953,0,0,0,0,0,0,package://3D_CAD_Scara9/meshes/Link01_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3D_CAD_Scara9/meshes/Link01_Link.STL,,Links_1-1,joint01,Axis_Joint01_joint,Joint01_joint,continuous,0,0,0.17,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Link02_Link,0.174408306120747,9.11106830767672E-05,0.00387140852064086,0,0,0,4.46317135032902,0.0133846284356313,-2.7653061254976E-05,0.00301355919278687,0.0962243535370692,1.57427958940006E-06,0.100921848562148,0,0,0,0,0,0,package://3D_CAD_Scara9/meshes/Link02_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3D_CAD_Scara9/meshes/Link02_Link.STL,,Links_2-1,joint02,Axis_Joint01_joint,joint02_joint,continuous,0.35,0,0.1,0,0,0,Link01_Link,0,0,1,,,,,,,,,,,,
Link03_Link,-5.44009282066327E-15,3.33066907387547E-15,-0.0289984738649371,0,0,0,2.621,0.0171776793272288,-1.28693386662647E-18,-6.16079470027681E-19,0.0171776793272288,-7.38411733585151E-20,0.00441068333333334,0,0,0,0,0,0,package://3D_CAD_Scara9/meshes/Link03_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3D_CAD_Scara9/meshes/Link03_Link.STL,,Links_3-1,joint03,Axis_joint03_joint,joint03_joint,prismatic,0.35,0.00012531,0.05,3.1416,0,0,Link02_Link,0,0,-1,0,0,0,0.13,,,,,,,,
End_efector_Link,0,-1.11022302462516E-16,-0.128998473864937,0,0,0,2.621,0.0171776793272288,-1.28693386662647E-18,-9.60510126229114E-19,0.0171776793272288,-4.28567790215347E-19,0.00441068333333334,0,0,0,0,0,0,package://3D_CAD_Scara9/meshes/End_efector_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3D_CAD_Scara9/meshes/End_efector_Link.STL,,Links_3-1,End_efector,,Endefector_joint,fixed,0,0,0.1,0,0,0,Link03_Link,0,0,0,,,,,,,,,,,,
